#version,serial,flight,call,time,rssi,lqi,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage,latitude,longitude
6,12440,2,IGNIS,0.87,-72,5,3,   boost,-1.88,101268,152.6213571,55.48,30.47,19,3.95,0.01,3.95,51.049257,-1.398034
6,12440,2,IGNIS,0.98,-75,14,3,   boost,-1.31,101215,157.0221852,59.9,30.1,19,3.95,0.01,3.95,51.049268,-1.398022
6,12440,2,IGNIS,1.09,-80,7,3,   boost,-1.58,101169,160.8432846,63.73,29.76,19,3.95,0.01,3.95,51.049280,-1.398009
6,12440,2,IGNIS,1.2,-83,5,3,   boost,-3.13,101121,164.832019,67.73,30.49,19,3.95,0.01,3.95,51.049293,-1.397995
6,12440,2,IGNIS,1.31,-86,6,3,   boost,-5.65,101079,168.3234193,71.23,30.43,19,3.95,0.01,3.95,51.049307,-1.397980
6,12440,2,IGNIS,1.42,-78,5,3,   boost,-8.25,101040,171.5664859,74.49,29.47,19,3.95,0.01,3.95,51.049322,-1.397964
6,12440,2,IGNIS,1.53,-75,6,3,   boost,-10.14,101004,174.5609855,77.49,28.36,19,3.95,0.01,3.95,51.049338,-1.397947
6,12440,2,IGNIS,1.64,-74,7,3,   boost,-10.95,100964,177.889221,80.83,27.06,18.9,3.95,0.01,3.95,51.049355,-1.397929
6,12440,2,IGNIS,1.75,-74,15,3,   boost,-11.04,100933,180.469338,83.42,25.79,18.9,3.95,0.01,3.95,51.049373,-1.397910
6,12440,2,IGNIS,1.86,-75,8,3,   boost,-10.84,100895,183.6329375,86.59,24.55,18.9,3.95,0.01,3.95,51.049392,-1.397890
6,12440,2,IGNIS,1.97,-76,6,3,   boost,-10.56,100863,186.2977697,89.27,23.37,18.9,3.95,0.01,3.95,51.049412,-1.397869
6,12440,2,IGNIS,2.08,-79,8,3,   boost,-10.32,100828,189.2132138,92.19,22.22,18.9,3.95,0.01,3.95,51.049433,-1.397847
6,12440,2,IGNIS,2.19,-84,6,3,   boost,-10.17,100795,191.9628118,94.95,21.1,18.9,3.95,0.01,3.95,51.049455,-1.397824
6,12440,2,IGNIS,2.3,-85,6,3,   boost,-10.12,100773,193.7962821,96.79,19.99,18.9,3.95,0.01,3.95,51.049478,-1.397800
6,12440,2,IGNIS,2.41,-85,9,5,   coast,-10.23,100745,196.1302585,99.13,18.9,18.9,3.96,0,3.95,51.049502,-1.397775
6,12440,2,IGNIS,2.52,-84,8,5,   coast,-10.68,100733,197.1306949,100.13,17.79,19,3.95,0.01,3.95,51.049527,-1.397749
6,12440,2,IGNIS,2.63,-80,6,5,   coast,-11.48,100702,199.7156024,102.73,16.67,18.9,3.95,0.01,3.95,51.049553,-1.397722
6,12440,2,IGNIS,2.74,-79,6,5,   coast,-12.37,100681,201.4670348,104.48,15.51,18.9,3.95,0.01,3.95,51.049580,-1.397694
6,12440,2,IGNIS,2.85,-76,8,5,   coast,-12.98,100663,202.968498,105.99,14.31,18.9,3.95,0.01,3.95,51.049608,-1.397665
6,12440,2,IGNIS,2.96,-76,4,5,   coast,-13.36,100645,204.4701786,107.5,12.45,18.9,3.95,0.01,3.95,51.049637,-1.397635
6,12440,2,IGNIS,3.07,-77,8,5,   coast,-12.6,100627,205.9720767,109,10.83,18.9,3.95,0.01,3.95,51.049667,-1.397604
6,12440,2,IGNIS,3.18,-75,7,5,   coast,-11.33,100612,207.2238247,110.26,9.62,18.9,3.95,0.01,3.95,51.049698,-1.397572
6,12440,2,IGNIS,3.29,-79,7,5,   coast,-10.85,100603,207.974946,111.01,8.44,18.9,3.95,0.01,3.95,51.049730,-1.397539
6,12440,2,IGNIS,3.4,-85,8,5,   coast,-10.5,100585,209.4773518,112.52,6.75,18.9,3.95,0.01,3.95,51.049763,-1.397505
6,12440,2,IGNIS,3.62,-87,9,5,   coast,-11.01,100566,211.0634608,114.11,5.12,18.9,3.95,0.01,3.95,51.049810,-1.397457
6,12440,2,IGNIS,3.73,-80,7,5,   coast,-11.27,100562,211.3974094,114.45,4.08,18.9,3.95,0.01,3.95,51.049834,-1.397430
6,12440,2,IGNIS,3.84,-76,7,5,   coast,-10.23,100555,211.9818453,115.03,3.08,18.9,3.95,0.01,3.95,51.049858,-1.397403
6,12440,2,IGNIS,3.95,-73,7,5,   coast,-8.63,100550,212.3993198,115.45,2.4,18.9,3.95,0.01,3.95,51.049882,-1.397376
6,12440,2,IGNIS,4,-73,8,7,    main,-9.04,100548,212.5663142,115.62,-0.86,18.9,3.95,0.01,3.95,51.049893,-1.397362
6,12440,2,IGNIS,4,-71,7,7,    main,-9.04,100548,212.5663142,115.62,-0.86,18.9,3.95,0.01,3.95,51.049893,-1.397362
6,12440,2,IGNIS,5,-76,7,7,    main,-10.55,100595,208.642655,111.68,-8.12,19,0.15,0.01,3.95,51.050120,-1.397080
6,12440,2,IGNIS,6.01,-81,9,7,    main,2.01,100626,206.0555219,109.09,-18.78,19,0.03,0.01,3.95,51.050370,-1.396780
6,12440,2,IGNIS,7.02,-79,7,7,    main,6.82,100936,180.2196212,83.17,-16.75,19,0.02,0.01,3.95,51.050610,-1.396490
6,12440,2,IGNIS,8.03,-76,7,7,    main,-1.74,101173,160.5109593,63.4,-9.87,19,0.03,0.01,3.95,51.050830,-1.396220
6,12440,2,IGNIS,9.51,-82,8,7,    main,-2.76,101253,153.8666852,56.73,-12.45,18.9,0.06,0.01,3.97,51.051140,-1.395850
6,12440,2,IGNIS,9.51,-87,9,7,    main,-2.76,101253,153.8666852,56.73,-12.45,18.9,0.06,0.01,3.97,51.051140,-1.395850
6,12440,2,IGNIS,10.51,-80,7,7,    main,3.13,101455,137.1087901,39.92,-15.21,18.9,0.08,0.01,3.95,51.051380,-1.395560
6,12440,2,IGNIS,11.52,-76,8,7,    main,3.13,101624,123.1093145,25.88,-12.05,18.9,0.09,0.01,3.96,51.051600,-1.395290
6,12440,2,IGNIS,12.53,-89,11,7,    main,3.13,101824,106.5662215,9.28,-12.05,18.9,0.1,0.01,3.95,51.051810,-1.395030
6,12440,2,IGNIS,14.55,-104,17,7,    main,3.13,101824,106.5662215,9.28,-12.05,18.9,0.1,0.01,3.95,51.052200,-1.394540
